Journal,Publisher,COI
PLoS_Med,plos,0.24280155642023346
Front_Pediatr,frontiers,0.15880102040816327
PNAS,pnas,0.15324746673177878
jof,mdpi,0.14893617021276595
PLoS_Negl_Trop_Dis,plos,0.14828544949026876
Front_Neuroinform,frontiers,0.1405152224824356
toxins,mdpi,0.1198501872659176
Front_Neurol,frontiers,0.11518179295031918
Front_Integr_Neurosci,frontiers,0.11245674740484429
Front_Cardiovasc_Med,frontiers,0.11169284467713787
PLoS_Genet,plos,0.11149174711927748
PLoS_Pathog,plos,0.11138132295719845
Front_Med_(Lausanne),frontiers,0.1113573407202216
IJAD,hindawi,0.10852713178294573
Front_Endocrinol_(Lausanne),frontiers,0.10632274300094369
Front_Psychiatry,frontiers,0.10031347962382445
Front_Comput_Neurosci,frontiers,0.09615384615384616
SARCOMA,hindawi,0.09420289855072464
Front_Neural_Circuits,frontiers,0.09223300970873786
Front_Mol_Neurosci,frontiers,0.08944281524926687
Front_Chem,frontiers,0.08904374758033294
Front_Immunol,frontiers,0.08622271142909557
Front_Genet,frontiers,0.08471227463571253
Front_Surg,frontiers,0.0830860534124629
Front_Neuroanat,frontiers,0.08226950354609928
Front_Physiol,frontiers,0.08082094833687191
AU,hindawi,0.08
jpm,mdpi,0.07967032967032966
Front_Big_Data,frontiers,0.07964601769911504
Front_Neurorobot,frontiers,0.07823960880195599
Front_Hum_Neurosci,frontiers,0.07802400738688828
Front_Oncol,frontiers,0.07769028871391076
Front_Neurosci,frontiers,0.07750851191668336
Front_Synaptic_Neurosci,frontiers,0.07657657657657657
PLoS_Comput_Biol,plos,0.07296881016557566
Front_Behav_Neurosci,frontiers,0.07289293849658314
Front_Cell_Infect_Microbiol,frontiers,0.07254901960784314
Front_Bioeng_Biotechnol,frontiers,0.07196613358419568
Front_Microbiol,frontiers,0.0717756183745583
PLoS_Biol,plos,0.07125427037579307
Front_Cell_Neurosci,frontiers,0.07053941908713693
Front_Plant_Sci,frontiers,0.07049180327868852
Front_Robot_AI,frontiers,0.0688976377952756
Front_Syst_Neurosci,frontiers,0.06871794871794872
Front_Mol_Biosci,frontiers,0.06622516556291391
algorithms,mdpi,0.06593406593406594
diversity,mdpi,0.06569343065693431
Front_Pharmacol,frontiers,0.06476127540062779
universe,mdpi,0.06422018348623854
Front_Aging_Neurosci,frontiers,0.06374298827129016
Front_Vet_Sci,frontiers,0.05962607377463365
JNA,hindawi,0.056451612903225805
Front_Sociol,frontiers,0.05581395348837209
Front_Public_Health,frontiers,0.05533399800598205
Front_Sports_Act_Living,frontiers,0.05521472392638037
biomolecules,mdpi,0.05518394648829431
Front_Cell_Dev_Biol,frontiers,0.05456120092378753
Front_Nutr,frontiers,0.053201970443349754
BCA,hindawi,0.05263157894736842
pharmacy,mdpi,0.05263157894736842
molecules,mdpi,0.05137048466146306
PLoS_One,plos,0.05132894497972796
cells,mdpi,0.05130890052356021
children,mdpi,0.05128205128205128
IJBI,hindawi,0.05084745762711865
resources,mdpi,0.05
viruses,mdpi,0.04951560818083961
jfb,mdpi,0.04854368932038835
jcm,mdpi,0.04829721362229102
membranes,mdpi,0.04792332268370607
Front_Psychol,frontiers,0.04726220995201472
