StartDate,TRUST_FINDING_1,TRUST_AUTHOR_1,TRUST_FINDING_2,TRUST_AUTHOR_2,TRUST_FINDING_3,TRUST_AUTHOR_3,Q66,Q65,Q67,Q68,condition,counter
2024-11-02 10:50:32,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,40,Male,White,"Graduate or professional degree (e.g., MSc, PhD, JD, MD)",1,4
2024-11-02 11:04:22,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,40,Male,Hispanic/Lantinx,4 year degree (Bachelor's),1,4
2024-11-02 11:15:29,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,33,Male,White,4 year degree (Bachelor's),1,4
2024-11-02 11:21:40,Neutral,Agree,Somewhat agree,Strongly agree,Agree,Neutral,1998,Male,Asian or Asian American,4 year degree (Bachelor's),1,4
2024-11-02 11:56:28,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,25,Male,Asian or Asian American,4 year degree (Bachelor's),1,4
2024-11-02 14:12:31,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,33,Male,White,4 year degree (Bachelor's),1,4
2024-11-02 14:22:58,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,29,Male,White,4 year degree (Bachelor's),1,4
2024-11-02 17:48:15,Somewhat agree,Agree,Disagree,Somewhat disagree,Neutral,Somewhat agree,42,Male,White,4 year degree (Bachelor's),1,4
2024-11-02 19:10:19,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,25,Female,White,4 year degree (Bachelor's),2,4
2024-11-03 00:25:07,Agree,Agree,Agree,Agree,Agree,Agree,41,Female,White,4 year degree (Bachelor's),1,4
2024-11-05 14:43:14,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,30,Male,Asian or Asian American,4 year degree (Bachelor's),2,4
2024-11-05 14:43:46,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,34,Male,White,4 year degree (Bachelor's),1,4
