StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,CONSENT,COMP1.1,COMP1.2,Q74,Q41,Q61,Q47,Q51,Q57,Q60,TRUST_FINDING_1,TRUST_AUTHOR_1,TRUST_FINDING_2,TRUST_AUTHOR_2,TRUST_FINDING_3,TRUST_AUTHOR_3,COMP2.1,COMP2.2,Q75,Q43,Q63,Q46,Q50,Q56,Q59,COMP3.1,COMP3.2,Q76,Q42,Q64,Q44,Q49,Q55,Q58,Q66,Q65,Q67,Q68,condition,counter,firstArticle,secondArticle,thirdArticle,CreationTime
2024-11-25 15:46:31,2024-11-25 15:54:45,100,494,True,2024-11-25 15:54:46,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Agree,Agree,Agree,Agree,Agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,34,Male,White,4 year degree (Bachelor's),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:46:49,2024-11-25 16:17:04,100,1815,True,2024-11-25 16:17:05,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,33,Male,White,4 year degree (Bachelor's),1,4,2,3,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:47:00,2024-11-25 15:53:22,100,381,True,2024-11-25 15:53:22,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Screen time is not associated with school performance,Adolescent behavior,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,49,Female,White,Some college (no degree),1,4,1,2,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:47:26,2024-11-25 16:10:05,100,1359,True,2024-11-25 16:10:05,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Male,White,4 year degree (Bachelor's),1,4,2,3,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:47:49,2024-11-25 16:11:08,100,1399,True,2024-11-25 16:11:09,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Agree,Agree,Agree,Agree,Agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Male,White,4 year degree (Bachelor's),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:49:09,2024-11-25 16:44:18,100,3308,True,2024-11-25 16:44:18,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,The editor has had a recent research collaboration with the main author of the article,,No,,,,35,Male,White,4 year degree (Bachelor's),1,4,3,1,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:49:21,2024-11-25 16:22:31,100,1990,True,2024-11-25 16:22:31,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,The editor has had a recent research collaboration with the main author of the article,,No,,,,25,Male,Asian or Asian American,4 year degree (Bachelor's),1,4,3,1,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:49:23,2024-11-25 16:03:33,100,849,True,2024-11-25 16:03:33,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,,The editor was affiliated with the same institution as the main author of the article,No,,,,30,Male,White,4 year degree (Bachelor's),1,4,1,3,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:49:34,2024-11-25 15:54:07,100,273,True,2024-11-25 15:54:08,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Screen time is not associated with school performance,Adolescent behavior,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,3,2,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:49:49,2024-11-25 16:58:52,100,4143,True,2024-11-25 16:58:53,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Male,White,4 year degree (Bachelor's),1,4,2,3,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:50:35,2024-11-25 16:12:50,100,1334,True,2024-11-25 16:12:50,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Screen time is not associated with school performance,Adolescent behavior,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Male,Asian or Asian American,4 year degree (Bachelor's),1,4,3,2,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:50:53,2024-11-25 15:59:32,100,519,True,2024-11-25 15:59:33,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,57,Female,White,Some college (no degree),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:50:54,2024-11-25 16:18:14,100,1639,True,2024-11-25 16:18:15,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Screen time is not associated with school performance,Adolescent behavior,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Male,Asian or Asian American,4 year degree (Bachelor's),1,4,3,2,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:51:03,2024-11-25 16:08:34,100,1050,True,2024-11-25 16:08:34,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,,The editor was affiliated with the same institution as the main author of the article,No,,,,35,Male,White,4 year degree (Bachelor's),1,4,3,1,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:51:07,2024-11-25 16:26:22,100,2114,True,2024-11-25 16:26:22,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,,The editor was affiliated with the same institution as the main author of the article,No,,,,35,Male,White,4 year degree (Bachelor's),1,4,3,1,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:51:10,2024-11-25 16:26:59,100,2149,True,2024-11-25 16:26:59,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,,The editor was affiliated with the same institution as the main author of the article,No,,,,35,Male,White,4 year degree (Bachelor's),1,4,3,1,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:51:34,2024-11-25 16:04:10,100,755,True,2024-11-25 16:04:11,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Screen time is not associated with school performance,Adolescent behavior,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Male,White,4 year degree (Bachelor's),1,4,3,2,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:51:36,2024-11-25 16:12:11,100,1235,True,2024-11-25 16:12:11,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,The editor has had a recent research collaboration with the main author of the article,,No,,,,50,Male,White,4 year degree (Bachelor's),1,4,1,3,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:51:49,2024-11-25 16:11:10,100,1160,True,2024-11-25 16:11:10,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,The editor has had a recent research collaboration with the main author of the article,,No,,,,41,Female,White,"Graduate or professional degree (e.g., MSc, PhD, JD, MD)",1,4,1,3,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:52:36,2024-11-25 16:04:54,100,738,True,2024-11-25 16:04:55,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,The editor has had a recent research collaboration with the main author of the article,,No,,,,35,Female,White,4 year degree (Bachelor's),1,4,1,3,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:52:53,2024-11-25 16:52:30,100,3576,True,2024-11-25 16:52:30,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Screen time is not associated with school performance,Adolescent behavior,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Male,White,4 year degree (Bachelor's),1,4,1,2,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:53:17,2024-11-25 15:55:07,100,110,True,2024-11-25 15:55:07,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,The editor has had a recent research collaboration with the main author of the article,,No,,,,38,Male,White,4 year degree (Bachelor's),1,4,1,3,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:54:44,2024-11-25 16:13:49,100,1145,True,2024-11-25 16:13:49,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Somewhat agree,Neutral,Agree,Somewhat agree,Somewhat agree,Neutral,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Male,White,4 year degree (Bachelor's),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:54:44,2024-11-25 15:56:53,100,128,True,2024-11-25 15:56:53,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,2,3,1,Mon Nov 25 14:45:56 PST 2024
